DATE,M2SL
1995-01-01,3492.4
1995-02-01,3489.9
1995-03-01,3491.1
1995-04-01,3499.2
1995-05-01,3524.2
1995-06-01,3548.9
1995-07-01,3567.4
1995-08-01,3589.0
1995-09-01,3602.1
1995-10-01,3613.4
1995-11-01,3619.9
1995-12-01,3629.5
1996-01-01,3647.9
1996-02-01,3661.8
1996-03-01,3687.0
1996-04-01,3697.8
1996-05-01,3709.6
1996-06-01,3722.5
1996-07-01,3737.2
1996-08-01,3744.1
1996-09-01,3753.5
1996-10-01,3770.9
1996-11-01,3790.0
1996-12-01,3810.4
1997-01-01,3824.6
1997-02-01,3836.3
1997-03-01,3851.2
1997-04-01,3867.2
1997-05-01,3879.1
1997-06-01,3895.8
1997-07-01,3913.8
1997-08-01,3947.3
1997-09-01,3963.0
1997-10-01,3982.1
1997-11-01,4004.6
1997-12-01,4022.8
1998-01-01,4046.1
1998-02-01,4078.8
1998-03-01,4104.3
1998-04-01,4130.1
1998-05-01,4154.0
1998-06-01,4173.8
1998-07-01,4193.5
1998-08-01,4218.5
1998-09-01,4257.4
1998-10-01,4297.5
1998-11-01,4336.1
1998-12-01,4365.0
1999-01-01,4392.4
1999-02-01,4415.2
1999-03-01,4422.0
1999-04-01,4450.6
1999-05-01,4474.9
1999-06-01,4496.7
1999-07-01,4523.9
1999-08-01,4541.2
1999-09-01,4557.2
1999-10-01,4580.9
1999-11-01,4599.9
1999-12-01,4627.4
2000-01-01,4655.7
2000-02-01,4669.0
2000-03-01,4699.8
2000-04-01,4755.6
2000-05-01,4743.1
2000-06-01,4760.9
2000-07-01,4778.4
2000-08-01,4806.6
2000-09-01,4842.2
2000-10-01,4858.2
2000-11-01,4869.0
2000-12-01,4913.7
2001-01-01,4964.3
2001-02-01,5002.6
2001-03-01,5060.4
2001-04-01,5124.4
2001-05-01,5121.1
2001-06-01,5161.3
2001-07-01,5191.3
2001-08-01,5225.2
2001-09-01,5336.3
2001-10-01,5324.9
2001-11-01,5368.5
2001-12-01,5421.6
2002-01-01,5442.0
2002-02-01,5471.4
2002-03-01,5483.4
2002-04-01,5483.5
2002-05-01,5509.4
2002-06-01,5534.3
2002-07-01,5576.9
2002-08-01,5619.4
2002-09-01,5643.7
2002-10-01,5688.3
2002-11-01,5738.4
2002-12-01,5759.7
2003-01-01,5792.3
2003-02-01,5828.5
2003-03-01,5849.3
2003-04-01,5886.5
2003-05-01,5946.6
2003-06-01,5983.3
2003-07-01,6030.0
2003-08-01,6088.2
2003-09-01,6060.1
2003-10-01,6050.9
2003-11-01,6056.1
2003-12-01,6054.2
2004-01-01,6062.7
2004-02-01,6101.6
2004-03-01,6137.4
2004-04-01,6178.4
2004-05-01,6255.0
2004-06-01,6257.3
2004-07-01,6271.0
2004-08-01,6297.1
2004-09-01,6331.7
2004-10-01,6359.9
2004-11-01,6386.4
2004-12-01,6405.0
2005-01-01,6411.2
2005-02-01,6419.6
2005-03-01,6428.6
2005-04-01,6442.6
2005-05-01,6459.9
2005-06-01,6492.3
2005-07-01,6523.9
2005-08-01,6556.6
2005-09-01,6590.7
2005-10-01,6624.7
2005-11-01,6641.2
2005-12-01,6668.0
2006-01-01,6710.5
2006-02-01,6734.8
2006-03-01,6749.3
2006-04-01,6786.4
2006-05-01,6793.0
2006-06-01,6831.0
2006-07-01,6872.5
2006-08-01,6903.3
2006-09-01,6930.5
2006-10-01,6979.5
2006-11-01,7014.3
2006-12-01,7057.5
2007-01-01,7095.5
2007-02-01,7111.3
2007-03-01,7145.1
2007-04-01,7217.4
2007-05-01,7231.0
2007-06-01,7264.2
2007-07-01,7294.5
2007-08-01,7370.9
2007-09-01,7389.2
2007-10-01,7402.8
2007-11-01,7427.8
2007-12-01,7458.0
2008-01-01,7491.8
2008-02-01,7576.5
2008-03-01,7642.5
2008-04-01,7685.2
2008-05-01,7697.1
2008-06-01,7714.6
2008-07-01,7761.0
2008-08-01,7776.0
2008-09-01,7845.9
2008-10-01,7954.0
2008-11-01,8004.6
2008-12-01,8181.0
2009-01-01,8262.4
2009-02-01,8291.6
2009-03-01,8357.6
2009-04-01,8360.7
2009-05-01,8418.2
2009-06-01,8427.8
2009-07-01,8432.5
2009-08-01,8432.2
2009-09-01,8431.5
2009-10-01,8458.3
2009-11-01,8488.4
2009-12-01,8483.4
2010-01-01,8445.7
2010-02-01,8495.3
2010-03-01,8492.4
2010-04-01,8522.8
2010-05-01,8577.5
2010-06-01,8596.6
2010-07-01,8606.2
2010-08-01,8656.5
2010-09-01,8687.7
2010-10-01,8736.7
2010-11-01,8757.4
2010-12-01,8789.3
2011-01-01,8825.9
2011-02-01,8871.4
2011-03-01,8915.7
2011-04-01,8977.9
2011-05-01,9029.2
2011-06-01,9113.4
2011-07-01,9301.4
2011-08-01,9515.1
2011-09-01,9539.7
2011-10-01,9571.3
2011-11-01,9612.3
2011-12-01,9651.1
2012-01-01,9730.3
2012-02-01,9773.1
2012-03-01,9817.8
2012-04-01,9872.1
2012-05-01,9903.8
2012-06-01,9973.6
2012-07-01,10046.8
2012-08-01,10117.9
2012-09-01,10200.2
2012-10-01,10261.3
2012-11-01,10319.9
2012-12-01,10445.7
2013-01-01,10471.2
2013-02-01,10468.2
2013-03-01,10539.7
2013-04-01,10575.1
2013-05-01,10611.3
2013-06-01,10665.9
2013-07-01,10721.9
2013-08-01,10780.4
2013-09-01,10832.6
2013-10-01,10945.2
2013-11-01,10953.0
2013-12-01,11015.0
2014-01-01,11065.6
2014-02-01,11148.7
2014-03-01,11190.3
2014-04-01,11246.5
2014-05-01,11314.8
2014-06-01,11367.1
2014-07-01,11428.4
2014-08-01,11457.6
2014-09-01,11492.0
2014-10-01,11551.4
2014-11-01,11590.6
2014-12-01,11668.0
2015-01-01,11732.1
2015-02-01,11852.5
2015-03-01,11869.4
2015-04-01,11916.6
2015-05-01,11949.3
2015-06-01,11994.6
2015-07-01,12046.6
2015-08-01,12097.6
2015-09-01,12153.1
2015-10-01,12185.0
2015-11-01,12274.2
2015-12-01,12330.1
2016-01-01,12458.0
2016-02-01,12534.3
2016-03-01,12597.9
2016-04-01,12687.2
2016-05-01,12756.0
2016-06-01,12823.6
2016-07-01,12882.3
2016-08-01,12969.7
2016-09-01,13030.8
2016-10-01,13099.4
2016-11-01,13169.7
2016-12-01,13198.9
2017-01-01,13275.4
2017-02-01,13341.1
2017-03-01,13411.4
2017-04-01,13476.8
2017-05-01,13530.5
2017-06-01,13558.2
2017-07-01,13618.2
2017-08-01,13673.8
2017-09-01,13716.4
2017-10-01,13768.9
2017-11-01,13794.0
2017-12-01,13835.7
2018-01-01,13858.4
2018-02-01,13892.8
2018-03-01,13952.7
2018-04-01,13989.2
2018-05-01,14054.9
2018-06-01,14120.0
2018-07-01,14153.0
2018-08-01,14197.0
2018-09-01,14228.5
2018-10-01,14235.4
2018-11-01,14245.4
2018-12-01,14351.7
2019-01-01,14434.6
2019-02-01,14464.3
2019-03-01,14511.8
2019-04-01,14558.7
2019-05-01,14654.3
2019-06-01,14782.6
2019-07-01,14862.1
2019-08-01,14933.3
2019-09-01,15022.9
2019-10-01,15149.9
2019-11-01,15251.2
2019-12-01,15307.1
2020-01-01,15402.1
2020-02-01,15446.9
2020-03-01,15989.9
2020-04-01,17020.1
2020-05-01,17868.6
2020-06-01,18164.0
2020-07-01,18322.2
2020-08-01,18404.0
2020-09-01,18648.3
2020-10-01,18812.0
